Characteristic,"Count (n = 8,621)",%
15 -  19,390,4.5
20 -  24,"1,030",11.9
25 -  29,"1,121",13.0
30 -  34,"1,309",15.2
35 -  39,"1,411",16.4
40 -  44,"1,557",18.1
45 -  49,"1,803",20.9
Gender: female,"3,940",45.7
Comorbidities,,
Acute respiratory disease,356,4.1
Attention deficit hyperactivity disorder,7,0.1
Chronic liver disease,84,1.0
Chronic obstructive pulmonary disease,8,0.1
Dementia,32,0.4
Depressive disorder,546,6.3
Diabetes mellitus,148,1.7
Gastroesophageal reflux disease,11,0.1
Gastrointestinal hemorrhage,48,0.6
Human immunodeficiency virus infection,17,0.2
Hyperlipidemia,76,0.9
Hypertensive disorder,275,3.2
Lesion of liver,24,0.3
Obesity,21,0.2
Osteoarthritis,154,1.8
Pneumonia,105,1.2
Psoriasis,10,0.1
Renal impairment,54,0.6
Rheumatoid arthritis,6,0.1
Schizophrenia,263,3.1
Urinary tract infectious disease,135,1.6
Atrial fibrillation,6,0.1
Cerebrovascular disease,256,3.0
Coronary arteriosclerosis,12,0.1
Heart disease,216,2.5
Heart failure,19,0.2
Ischemic heart disease,45,0.5
Peripheral vascular disease,7,0.1
Venous thrombosis,7,0.1
Malignant neoplastic disease,134,1.6
Malignant tumor of breast,24,0.3
Malignant tumor of colon,6,0.1
Medications,,
Agents acting on the renin-angiotensin system,133,1.5
Antibacterials for systemic use,"1,422",16.5
Antidepressants,692,8.0
Antiepileptics,"2,088",24.2
Antiinflammatory and antirheumatic products,"1,671",19.4
Antineoplastic agents,12,0.1
Antipsoriatics,7,0.1
Antithrombotic agents,138,1.6
Beta blocking agents,405,4.7
Calcium channel blockers,498,5.8
Diuretics,87,1.0
Drugs for acid related disorders,956,11.1
Drugs for obstructive airway diseases,431,5.0
Drugs used in diabetes,349,4.0
Lipid modifying agents,36,0.4
Opioids,510,5.9
Psycholeptics,"2,178",25.3
"Psychostimulants, agents used for adhd and nootropics",76,0.9
