"year","gender_concept_id","n_prescriptions","Sex","n_total","rate_per_1000"
2005,8507,2526,"Male",38926,64.8923598623028
2005,8532,2334,"Female",57151,40.8391804167906
2006,8507,2797,"Male",57356,48.765604295976
2006,8532,2574,"Female",80756,31.873792659369
2007,8507,3345,"Male",70586,47.3890006516873
2007,8532,2754,"Female",96736,28.4692358584188
2008,8507,3580,"Male",81497,43.9279973495957
2008,8532,2975,"Female",109596,27.1451512828935
2009,8507,4751,"Male",100036,47.4929025550802
2009,8532,3531,"Female",130731,27.0096610597333
2010,8507,5371,"Male",133499,40.2325111049521
2010,8532,4428,"Female",168283,26.3128182882406
2011,8507,5394,"Male",159968,33.7192438487698
2011,8532,4543,"Female",196182,23.1570684364519
2012,8507,11248,"Male",179857,62.5385723102242
2012,8532,9211,"Female",216795,42.48714223114
2013,8507,11434,"Male",220915,51.7574632777313
2013,8532,9766,"Female",271856,35.9234300512036
2014,8507,11796,"Male",244254,48.2939890441917
2014,8532,9692,"Female",299118,32.4019283359744
2015,8507,13912,"Male",259643,53.5812635041191
2015,8532,11459,"Female",316383,36.2187601735871
2016,8507,15326,"Male",270493,56.6595069003634
2016,8532,12670,"Female",328101,38.6161578294489
2017,8507,15747,"Male",274725,57.3191373191373
2017,8532,12785,"Female",332192,38.4867787303728
2018,8507,16162,"Male",272937,59.2151302315186
2018,8532,13406,"Female",330059,40.6169806004381
2019,8507,16028,"Male",264851,60.5170454330926
2019,8532,13079,"Female",321412,40.6923201373938
2020,8507,17076,"Male",252876,67.5271674654772
2020,8532,13382,"Female",306411,43.6733668177709
2021,8507,15261,"Male",240374,63.488563654971
2021,8532,12197,"Female",289614,42.1146767766752
2022,8507,14546,"Male",223764,65.0059884521192
2022,8532,11427,"Female",266961,42.8040050793936
2023,8507,11093,"Male",160538,69.0989049321656
2023,8532,8968,"Female",200647,44.6954103475258
