"Year","N total patients (male)","N valproate users (male)","Rate of valproate use (male)","N total patients (female)","N valproate users (female)","Rate of valproate use (female)"
2005,38926,577,0.01482,57151,603,0.01055
2006,57356,742,0.01294,80756,769,0.00952
2007,70586,876,0.01241,96736,876,0.00906
2008,81497,961,0.01179,109596,940,0.00858
2009,100036,1180,0.0118,130731,1143,0.00874
2010,133499,1561,0.01169,168283,1425,0.00847
2011,159968,1768,0.01105,196182,1575,0.00803
2012,179857,1879,0.01045,216795,1685,0.00777
2013,220915,2174,0.00984,271856,1978,0.00728
2014,244254,2275,0.00931,299118,2012,0.00673
2015,259643,2276,0.00877,316383,2034,0.00643
2016,270493,2245,0.0083,328101,2019,0.00615
2017,274725,2173,0.00791,332192,1973,0.00594
2018,272937,2105,0.00771,330059,1892,0.00573
2019,264851,2025,0.00765,321412,1786,0.00556
2020,252876,1911,0.00756,306411,1687,0.00551
2021,240374,1752,0.00729,289614,1526,0.00527
2022,223764,1572,0.00703,266961,1307,0.0049
2023,160538,1250,0.00779,200647,1071,0.00534
NA,NA,NA,NA,NA,NA,NA
